city,status,date,value
seoul,new,2020.04. 09,12
seoul,new,2020. 04. 10,5
seoul,new,2020. 04. 11,4
seoul,new,2020. 04. 12,3
seoul,new,2020. 04. 13,8
seoul,new,2020. 04. 14,2
seoul,new,2020. 04. 15,5
seoul,new,2020. 04. 16,2
seoul,new,2020. 04. 17,2
seoul,new,2020. 04. 18,1
seoul,new,2020. 04. 19,2
seoul,new,2020. 04. 20,0
seoul,new,2020. 04. 21,2
seoul,new,2020. 04. 22,2
seoul,new,2020. 04. 23,0
seoul,new,2020. 04. 24,0
seoul,new,2020. 04. 25,1
seoul,new,2020. 04. 26,0
seoul,new,2020. 04. 27,0
seoul,new,2020. 04. 28,4
seoul,new,2020. 04. 29,0
seoul,new,2020. 04. 30,0
seoul,new,2020. 05. 01,1
seoul,new,2020. 05. 02,1
seoul,new,2020. 05. 03,2
seoul,new,2020. 05. 04,0
seoul,new,2020. 05. 05,0
seoul,new,2020. 05. 06,0
seoul,new,2020. 05. 07,0
seoul,new,2020. 05. 08,0
seoul,new,2020. 05. 09,12
seoul,new,2020. 05. 10,14
seoul,new,2020. 05. 11,20
seoul,new,2020. 05. 12,12
seoul,new,2020. 05. 13,12
seoul,new,2020. 05. 14,4
seoul,new,2020. 05. 15,14
seoul,new,2020. 05. 16,5
seoul,new,2020. 05. 17,5
seoul,new,2020. 05. 18,1
seoul,new,2020. 05. 19,6
seoul,new,2020. 05. 20,10
seoul,new,2020. 05. 21,4
seoul,new,2020. 05. 22,2
seoul,new,2020. 05. 23,4
seoul,new,2020. 05. 24,6
seoul,new,2020. 05. 25,6
seoul,new,2020. 05. 26,9
seoul,new,2020. 05. 27,19
seoul,new,2020. 05. 28,24
seoul,new,2020. 05. 29,20
seoul,new,2020. 05. 30,9
seoul,new,2020. 05. 31,6
seoul,new,2020. 06. 01,1
seoul,new,2020. 06. 02,14
seoul,new,2020. 06. 03,19
seoul,new,2020. 06. 04,14
seoul,new,2020. 06. 05,15
seoul,new,2020. 06. 06,23
seoul,new,2020. 06. 07,27
seoul,new,2020. 06. 08,22
seoul,new,2020. 06. 09,19
seoul,new,2020. 06. 10,12
seoul,new,2020. 06. 11,21
seoul,new,2020. 06. 12,25
seoul,new,2020. 06. 13,29
seoul,new,2020. 06. 14,12
seoul,new,2020. 06. 15,7
seoul,new,2020. 06. 16,12
seoul,new,2020. 06. 17,13
seoul,new,2020. 06. 18,25
seoul,new,2020. 06. 19,18
seoul,new,2020. 06. 20,14
seoul,new,2020. 06. 21,17
seoul,new,2020. 06. 22,5
seoul,new,2020. 06. 23,6
seoul,new,2020. 06. 24,11
seoul,new,2020. 06. 25,9
seoul,new,2020. 06. 26,17
seoul,new,2020. 06. 27,17
seoul,new,2020. 06. 28,14
seoul,new,2020. 06. 29,7
seoul,new,2020. 06. 30,7
seoul,new,2020. 07. 01,9
seoul,new,2020. 07. 02,13
seoul,new,2020. 07. 03,12
seoul,new,2020. 07. 04,7
seoul,new,2020. 07. 05,16
seoul,new,2020. 07. 06,3
seoul,new,2020. 07. 07,3
seoul,new,2020. 07. 08,10
seoul,new,2020. 07. 09,8
seoul,new,2020. 07. 10,8
seoul,new,2020. 07. 11,8
seoul,new,2020. 07. 12,7
seoul,new,2020. 07. 13,13
seoul,new,2020. 07. 14,7
seoul,new,2020. 07. 15,6
seoul,new,2020. 07. 16,7
seoul,new,2020. 07. 17,9
seoul,new,2020. 07. 18,6
seoul,new,2020. 07. 19,10
seoul,new,2020. 07. 20,3
seoul,new,2020. 07. 21,21
seoul,new,2020. 07. 22,16
seoul,new,2020. 07. 23,12
seoul,new,2020. 07. 24,21
seoul,new,2020. 07. 25,11
seoul,new,2020. 07. 26,7
seoul,new,2020. 07. 27,9
seoul,new,2020. 07. 28,6
seoul,new,2020. 07. 29,9
seoul,new,2020. 07. 30,3
seoul,new,2020. 07. 31,8
seoul,new,2020. 08. 01,2
seoul,new,2020. 08. 02,5
seoul,new,2020. 08. 03,5
seoul,new,2020. 08. 04,9
seoul,new,2020. 08. 05,6
seoul,new,2020. 08. 06,9
seoul,new,2020. 08. 07,9
seoul,new,2020. 08. 08,17
seoul,new,2020. 08. 09,13
seoul,new,2020. 08. 10,13
seoul,new,2020. 08. 11,6
seoul,new,2020. 08. 12,15
seoul,new,2020. 08. 13,26
seoul,new,2020. 08. 14,32
seoul,new,2020. 08. 15,74
seoul,new,2020. 08. 16,146
seoul,new,2020. 08. 17,90
seoul,new,2020. 08. 18,132
seoul,new,2020. 08. 19,151
seoul,new,2020. 08. 20,135
seoul,new,2020. 08. 21,126
seoul,new,2020. 08. 22,128
seoul,new,2020. 08. 23,140
seoul,new,2020. 08. 24,97
seoul,new,2020. 08. 25,134
seoul,new,2020. 08. 26,112
seoul,new,2020. 08. 27,154
seoul,new,2020. 08. 28,146
seoul,new,2020. 08. 29,125
seoul,new,2020. 08. 30,116
seoul,new,2020. 08. 31,94
seoul,new,2020. 09. 01,94
seoul,new,2020. 09. 02,101
seoul,new,2020. 09. 03,69
seoul,new,2020. 09. 04,68
seoul,new,2020. 09. 05,51
seoul,new,2020. 09. 06,63
seoul,new,2020. 09. 07,48
seoul,new,2020. 09. 08,67
seoul,new,2020. 09. 09,49
seoul,new,2020. 09. 10,48
seoul,new,2020. 09. 11,63
seoul,new,2020. 09. 12,50
seoul,new,2020. 09. 13,31
seoul,new,2020. 09. 14,41
seoul,new,2020. 09. 15,32
seoul,new,2020. 09. 16,51
seoul,new,2020. 09. 17,63
seoul,new,2020. 09. 18,46
seoul,new,2020. 09. 19,40
seoul,new,2020. 09. 20,28
seoul,new,2020. 09. 21,23
seoul,new,2020. 09. 22,21
seoul,new,2020. 09. 23,40
seoul,new,2020. 09. 24,39
seoul,new,2020. 09. 25,57
seoul,new,2020. 09. 26,26
seoul,new,2020. 09. 27,34
seoul,new,2020. 09. 28,19
seoul,new,2020. 09. 29,11
seoul,new,2020. 09. 30,51
seoul,new,2020. 10. 01,30
seoul,new,2020. 10. 02,11
seoul,new,2020. 10. 03,26
seoul,new,2020. 10. 04,16
seoul,new,2020. 10. 05,19
seoul,new,2020. 10. 06,15
seoul,new,2020. 10. 07,33
seoul,new,2020. 10. 08,20
seoul,new,2020. 10. 09,22
seoul,new,2020. 10. 10,25
seoul,new,2020. 10. 11,23
seoul,new,2020. 10. 12,31
seoul,new,2020. 10. 13,20
seoul,new,2020. 10. 14,23
seoul,new,2020. 10. 15,25
seoul,new,2020. 10. 16,18
seoul,new,2020. 10. 17,18
seoul,new,2020. 10. 18,20
seoul,new,2020. 10. 19,14
seoul,new,2020. 10. 20,11
seoul,new,2020. 10. 21,17
seoul,new,2020. 10. 22,18
seoul,new,2020. 10. 23,20
seoul,new,2020. 10. 24,22
seoul,new,2020. 10. 25,17
seoul,new,2020. 10. 26,20
seoul,new,2020. 10. 27,24
seoul,new,2020. 10. 28,25
seoul,new,2020. 10. 29,36
seoul,new,2020. 10. 30,48
seoul,new,2020. 10. 31,52
seoul,new,2020. 11. 01,45
seoul,new,2020. 11. 02,25
seoul,new,2020. 11. 03,22
seoul,new,2020. 11. 04,42
seoul,new,2020. 11. 05,50
seoul,new,2020. 11. 06,40
seoul,new,2020. 11. 07,37
seoul,new,2020. 11. 08,54
seoul,new,2020. 11. 09,46
seoul,new,2020. 11. 10,35
seoul,new,2020. 11. 11,45
seoul,new,2020. 11. 12,53
seoul,new,2020. 11. 13,74
seoul,new,2020. 11. 14,69
seoul,new,2020. 11. 15,85
seoul,new,2020. 11. 16,81
seoul,new,2020. 11. 17,90
seoul,new,2020. 11. 18,92
seoul,new,2020. 11. 19,109
seoul,new,2020. 11. 20,132
seoul,new,2020. 11. 21,156
seoul,new,2020. 11. 22,121
seoul,new,2020. 11. 23,112
seoul,new,2020. 11. 24,133
seoul,new,2020. 11. 25,142
seoul,new,2020. 11. 26,213
seoul,new,2020. 11. 27,204
seoul,new,2020. 11. 28,178
seoul,new,2020. 11. 29,158
seoul,new,2020. 11. 30,159
seoul,new,2020. 12. 01,155
seoul,new,2020. 12. 02,193
seoul,new,2020. 12. 03,262
seoul,new,2020. 12. 04,295
seoul,new,2020. 12. 05,235
seoul,new,2020. 12. 06,254
seoul,new,2020. 12. 07,244
seoul,new,2020. 12. 08,212
seoul,new,2020. 12. 09,270
seoul,new,2020. 12. 10,251
seoul,new,2020. 12. 11,252
seoul,new,2020. 12. 12,362
seoul,new,2020. 12. 13,399
seoul,new,2020. 12. 14,219
seoul,new,2020. 12. 15,251
seoul,new,2020. 12. 16,378
seoul,new,2020. 12. 17,423
seoul,new,2020. 12. 18,398
seoul,new,2020. 12. 19,381
seoul,new,2020. 12. 20,473
seoul,new,2020. 12. 21,328
seoul,new,2020. 12. 22,317
seoul,new,2020. 12. 23,376
seoul,new,2020. 12. 24,319
seoul,new,2020. 12. 25,552
seoul,new,2020. 12. 26,466
seoul,new,2020. 12. 27,362
seoul,new,2020. 12. 28,300
seoul,new,2020. 12. 29,522
seoul,new,2020. 12. 30,387
seoul,new,2020. 12. 31,366
seoul,new,2021. 01. 01,358
seoul,new,2021. 01. 02,250
seoul,new,2021. 01. 03,197
seoul,new,2021. 01. 04,329
seoul,new,2021. 01. 05,199
seoul,new,2021. 01. 06,264
seoul,new,2021. 01. 07,298
seoul,new,2021. 01. 08,191
seoul,new,2021. 01. 09,188
seoul,new,2021. 01. 10,187
seoul,new,2021. 01. 11,141
seoul,new,2021. 01. 12,167
seoul,new,2021. 01. 13,152
seoul,new,2021. 01. 14,134
seoul,new,2021. 01. 15,127
seoul,new,2021. 01. 16,156
seoul,new,2021. 01. 17,145
seoul,new,2021. 01. 18,132
seoul,new,2021. 01. 19,101
seoul,new,2021. 01. 20,143
seoul,new,2021. 01. 21,125
seoul,new,2021. 01. 22,115
seoul,new,2021. 01. 23,127
seoul,new,2021. 01. 24,133
seoul,new,2021. 01. 25,102
seoul,new,2021. 01. 26,104
seoul,new,2021. 01. 27,129
seoul,new,2021. 01. 28,105
seoul,new,2021. 01. 29,112
seoul,new,2021. 01. 30,154
seoul,new,2021. 01. 31,101
seoul,new,2021. 02. 01,107
seoul,new,2021. 02. 02,128
seoul,new,2021. 02. 03,188
seoul,new,2021. 02. 04,172
seoul,new,2021. 02. 05,126
seoul,new,2021. 02. 06,143
seoul,new,2021. 02. 07,144
seoul,new,2021. 02. 08,112
seoul,new,2021. 02. 09,90